iter	RMSE
0	1.561872428
1	1.538020593
2	1.514052832
3	1.49317612
4	1.474199736
5	1.453356008
6	1.432323292
7	1.414706623
8	1.39801771
9	1.37984501
10	1.361099264
11	1.344495699
12	1.329417401
13	1.315528479
14	1.303034035
15	1.29005232
16	1.275481099
17	1.261065068
18	1.246589735
19	1.234236062
20	1.221953846
21	1.210076111
22	1.197204275
23	1.186627637
24	1.176131961
25	1.166945059
26	1.157479398
27	1.147307903
28	1.136852493
29	1.128306784
30	1.120968246
31	1.112357755
32	1.105394066
33	1.097995723
34	1.088780752
35	1.081071786
36	1.073344901
37	1.065867034
38	1.058780965
39	1.052665811
40	1.046802219
41	1.040160277
42	1.034916445
43	1.029840031
44	1.024491216
45	1.01980898
46	1.012994057
47	1.0087332
48	1.004681667
49	1.000724809
50	0.9940292815
51	0.9900495145
52	0.9860577847
53	0.9826335087
54	0.9794436393
55	0.9763365079
56	0.9729447974
57	0.970257172
58	0.9663028736
59	0.9637551524
60	0.9581383873
61	0.9543869943
62	0.9511290033
63	0.9462401789
64	0.9442819141
65	0.942256977
66	0.9389304299
67	0.9369420004
68	0.9350689031
69	0.9287950143
70	0.92591681
71	0.9242580937
72	0.9226266939
73	0.9203442294
74	0.9184924753
75	0.9122088058
76	0.9096702266
77	0.908003218
78	0.9035835267
79	0.9027643292
80	0.8985060899
81	0.8958306199
82	0.8929852493
83	0.8917761579
84	0.8861034467
85	0.8824201461
86	0.8798836664
87	0.8786868163
88	0.8760827951
89	0.8751910244
90	0.8732996816
91	0.8724263933
92	0.8704172868
93	0.8652345177
94	0.8619822076
95	0.8606102474
96	0.8573139612
97	0.8547495723
98	0.8489015714
99	0.8434744161
100	0.8403548287
101	0.8355702179
102	0.8325000338
103	0.8301040919
104	0.8293853311
105	0.8277621953
106	0.8249888559
107	0.8213120059
108	0.8205585859
109	0.8156110336
110	0.8125412496
111	0.8118705795
112	0.8104063299
113	0.8082819106
114	0.8042108492
115	0.8013925282
116	0.7998429387
117	0.7985764072
118	0.7978824541
119	0.7943653661
120	0.7938149289
121	0.7912261707
122	0.7905613192
123	0.7878873064
124	0.7834975439
125	0.7826172444
126	0.7802804214
127	0.7778796269
128	0.7765866024
129	0.7760692753
130	0.7711264313
131	0.768172254
132	0.7677209124
133	0.7659036066
134	0.7623353833
135	0.759580821
136	0.7577176485
137	0.7543363531
138	0.7531907394
139	0.7518019583
140	0.7499780313
141	0.7462244873
142	0.7452232269
143	0.7433686279
144	0.742451519
145	0.7376819714
146	0.7334227032
147	0.7298077577
148	0.7280543817
149	0.7261778903
150	0.7218740435
151	0.7208893829
152	0.7204241037
153	0.7163693464
154	0.7146748437
155	0.7130548731
156	0.7111622012
157	0.7075828467
158	0.7038988341
159	0.7034655017
160	0.7031224347
161	0.7027562386
162	0.6992685304
163	0.6965686675
164	0.6933072799
165	0.6894473786
166	0.6865696343
167	0.6850153708
168	0.683501104
169	0.6815092464
170	0.6778101996
171	0.6763124078
172	0.6748621818
173	0.6739158954
174	0.6725502863
175	0.672195176
176	0.6705542365
177	0.6693489433
178	0.667380271
179	0.6663798097
180	0.6653700253
181	0.6623909901
182	0.661091709
183	0.6582987114
184	0.6579419022
185	0.6544121225
186	0.6538485864
187	0.6523263807
188	0.6504665491
189	0.6499827172
190	0.6466225493
191	0.6447468166
192	0.6444555264
193	0.6420058137
194	0.6392333871
195	0.6362310473
196	0.6349915835
197	0.6346376657
198	0.6316353031
199	0.6288107529
200	0.6283634682
201	0.6256310405
202	0.6242680565
203	0.6218690708
204	0.6192883448
205	0.6176162854
206	0.6162116261
207	0.6148697114
208	0.6145655091
209	0.6134833528
210	0.6130588595
211	0.6120308622
212	0.6114524548
213	0.6100900043
214	0.6083533002
215	0.6072865945
216	0.6064239322
217	0.6039066865
218	0.6032663859
219	0.6017010628
220	0.6002387264
221	0.5978403791
222	0.597444143
223	0.5951763839
224	0.5946373892
225	0.5934774052
226	0.5932256802
227	0.5919742233
228	0.5903190901
229	0.5883006669
230	0.5874947958
231	0.5854122371
232	0.5840834224
233	0.5832685169
234	0.5830276952
235	0.5822903517
236	0.5802743858
237	0.5800850328
238	0.578445648
239	0.5770935567
240	0.575325527
241	0.5731720853
242	0.5727021523
243	0.5713310223
244	0.5702390196
245	0.569446878
246	0.5687700093
247	0.5685112588
248	0.5680592796
249	0.5661388545
250	0.5641036588
251	0.5630043892
252	0.5617653039
253	0.561014248
254	0.5591329195
255	0.5572384165
256	0.5563339202
257	0.5561514495
258	0.5546496162
259	0.553697807
260	0.5519984886
261	0.5517857981
262	0.5505730346
263	0.5485943746
264	0.547689882
265	0.5474190474
266	0.545813514
267	0.5437150617
268	0.5419849863
269	0.5408206261
270	0.5400021125
271	0.5387129126
272	0.5379382701
273	0.5375574639
274	0.5357528132
275	0.535420808
276	0.5347248818
277	0.5335842151
278	0.5319552607
279	0.5308044646
280	0.5299456908
281	0.5287932298
282	0.5277588845
283	0.527022444
284	0.5261628027
285	0.5259711376
286	0.5241769219
287	0.5236584175
288	0.5221432799
289	0.5218400303
290	0.5204939698
291	0.5200024177
292	0.518769054
293	0.5169722013
294	0.516435447
295	0.5147500224
296	0.5144090892
297	0.5127874339
298	0.5116154421
299	0.510520493
300	0.5092762986
301	0.5090000545
302	0.5086769169
303	0.5075553122
304	0.5066697794
305	0.504774766
306	0.5034824015
307	0.5024424524
308	0.5010205881
309	0.5008925107
310	0.5006789561
311	0.5001236072
312	0.499351405
313	0.4989595745
314	0.4984698421
315	0.4972456197
316	0.4956541733
317	0.4954790863
318	0.4943200704
319	0.4941598208
320	0.4932698372
321	0.4925935575
322	0.4917050445
323	0.4913296702
324	0.4906680989
325	0.4902915203
326	0.4892209993
327	0.4882376775
328	0.4864566963
329	0.48612569
330	0.4853582423
331	0.484513374
332	0.484123275
333	0.4825953797
334	0.482053189
335	0.4818169531
336	0.4801291342
337	0.478634342
338	0.4775834708
339	0.476209087
340	0.4746507374
341	0.4745313174
342	0.4735998771
343	0.4725042434
344	0.4717323264
345	0.4706690221
346	0.4701410508
347	0.4699002139
348	0.4690519221
349	0.468648463
350	0.4675544087
351	0.4665076924
352	0.4661354402
353	0.4655115495
354	0.464878451
355	0.4645149155
356	0.4638267896
357	0.4632895993
358	0.4631395563
359	0.4620908876
360	0.4617814323
361	0.4605477176
362	0.4597973999
363	0.4582948696
364	0.4579671575
365	0.4576141461
366	0.4566691616
367	0.4563312083
368	0.4556118971
369	0.4544333363
370	0.4535290935
