iter	Passed	Remaining
0	2	2011
1	3	1903
2	5	1842
3	7	1803
4	8	1781
5	10	1779
6	12	1765
7	14	1753
8	15	1753
9	17	1747
10	19	1740
11	21	1733
12	22	1732
13	24	1729
14	26	1723
15	27	1720
16	29	1719
17	31	1714
18	33	1714
19	34	1711
20	36	1709
21	38	1707
22	40	1704
23	41	1700
24	43	1699
25	45	1697
26	47	1694
27	48	1693
28	50	1690
29	52	1693
30	54	1689
31	55	1687
32	57	1684
33	59	1682
34	60	1679
35	62	1676
36	64	1673
37	66	1672
38	67	1669
39	69	1666
40	71	1665
41	72	1665
42	74	1662
43	76	1660
44	78	1657
45	79	1655
46	81	1652
47	83	1650
48	85	1663
49	87	1670
50	89	1667
51	91	1665
52	93	1663
53	94	1660
54	96	1658
55	98	1655
56	99	1653
57	101	1651
58	103	1649
59	105	1647
60	106	1645
61	108	1642
62	110	1640
63	112	1638
64	113	1637
65	115	1634
66	117	1632
67	118	1630
68	120	1628
69	122	1626
70	124	1624
71	125	1621
72	127	1620
73	129	1617
74	131	1615
75	132	1613
76	134	1612
77	136	1611
78	137	1608
79	139	1600
80	140	1599
81	142	1597
82	144	1594
83	146	1592
84	147	1590
85	149	1588
86	151	1586
87	152	1584
88	154	1583
89	156	1581
90	158	1579
91	159	1577
92	161	1575
93	163	1574
94	165	1572
95	166	1570
96	168	1568
97	170	1567
98	172	1566
99	173	1564
100	175	1563
101	177	1562
102	179	1560
103	180	1558
104	182	1557
105	184	1555
106	186	1552
107	187	1550
108	189	1549
109	191	1547
110	192	1545
111	194	1543
112	196	1542
113	198	1540
114	199	1538
115	201	1536
116	203	1534
117	205	1532
118	206	1530
119	208	1528
120	210	1527
121	211	1525
122	213	1523
123	215	1521
124	217	1520
125	218	1518
126	220	1516
127	222	1514
128	224	1513
129	225	1511
130	227	1509
131	229	1507
132	231	1505
133	232	1503
134	234	1501
135	236	1499
136	237	1498
137	239	1496
138	241	1494
139	243	1492
140	244	1491
141	246	1489
142	248	1487
143	249	1485
144	251	1484
145	253	1482
146	255	1480
147	256	1478
148	258	1477
149	260	1475
150	262	1473
151	263	1471
152	265	1470
153	267	1468
154	268	1466
155	270	1464
156	272	1462
157	274	1460
158	275	1459
159	277	1457
160	279	1456
161	281	1454
162	282	1452
163	284	1450
164	286	1449
165	288	1447
166	289	1445
167	291	1443
168	293	1442
169	295	1440
170	296	1438
171	298	1436
172	300	1435
173	301	1433
174	303	1431
175	305	1429
176	307	1428
177	308	1426
178	310	1424
179	312	1422
180	314	1421
181	315	1419
182	317	1417
183	319	1415
184	321	1414
185	322	1412
186	324	1410
187	326	1409
188	328	1407
189	329	1405
190	331	1403
191	333	1402
192	334	1399
193	336	1397
194	338	1395
195	339	1394
196	341	1392
197	344	1396
198	346	1394
199	348	1393
200	349	1391
201	351	1389
202	353	1387
203	355	1385
204	356	1383
205	358	1381
206	360	1380
207	362	1378
208	363	1376
209	365	1374
210	367	1372
211	368	1370
212	370	1369
213	372	1367
214	374	1365
215	375	1363
216	377	1361
217	379	1360
218	380	1358
219	382	1356
220	384	1355
221	386	1353
222	387	1351
223	389	1349
224	391	1347
225	392	1345
226	394	1343
227	396	1342
228	398	1340
229	399	1338
230	401	1336
231	403	1334
232	404	1332
233	406	1330
234	408	1328
235	409	1327
236	411	1325
237	413	1323
238	415	1321
239	416	1320
240	418	1318
241	420	1316
242	422	1314
243	423	1312
244	425	1311
245	427	1309
246	428	1307
247	430	1305
248	432	1304
249	434	1302
250	435	1300
251	437	1298
252	439	1296
253	440	1294
254	442	1293
255	444	1291
256	446	1289
257	447	1287
258	449	1286
259	451	1284
260	452	1282
261	454	1280
262	456	1278
263	458	1277
264	459	1275
265	461	1273
266	463	1272
267	465	1270
268	466	1268
269	468	1266
270	470	1264
271	471	1263
272	473	1261
273	475	1259
274	477	1257
275	478	1255
276	480	1254
277	482	1252
278	483	1250
279	485	1248
280	487	1247
281	489	1245
282	490	1243
283	492	1241
284	494	1240
285	496	1238
286	497	1236
287	499	1234
288	501	1232
289	502	1231
290	504	1229
291	506	1227
292	507	1225
293	509	1223
294	511	1222
295	513	1220
296	514	1218
297	516	1216
298	518	1214
299	519	1212
300	521	1211
301	523	1209
302	524	1207
303	526	1205
304	528	1203
305	530	1202
306	531	1200
307	533	1198
308	535	1196
309	536	1194
310	538	1193
311	540	1191
312	542	1189
313	543	1187
314	546	1188
315	549	1188
316	550	1186
317	552	1184
318	554	1183
319	555	1181
320	557	1179
321	559	1177
322	561	1176
323	562	1174
324	564	1172
325	566	1170
326	568	1169
327	569	1167
328	571	1165
329	573	1163
330	574	1161
331	576	1160
332	578	1158
333	580	1156
334	581	1154
335	583	1153
336	585	1151
337	587	1149
338	588	1147
339	590	1146
340	592	1144
341	593	1142
342	595	1140
343	597	1139
344	598	1137
345	600	1135
346	602	1133
347	604	1131
348	605	1130
349	607	1128
350	609	1126
351	610	1124
352	612	1122
353	614	1120
354	616	1119
355	617	1117
356	619	1115
357	621	1113
358	622	1112
359	624	1110
360	626	1108
361	627	1106
362	629	1104
363	631	1103
364	633	1101
365	634	1099
366	636	1097
367	638	1096
368	639	1094
369	641	1092
370	643	1090
371	644	1088
372	646	1087
373	648	1085
374	650	1083
375	651	1081
376	653	1079
377	655	1078
378	656	1076
379	658	1074
380	660	1072
381	661	1070
382	663	1069
383	665	1067
384	667	1065
385	668	1063
386	670	1062
387	672	1060
388	673	1058
389	675	1056
390	677	1054
391	679	1053
392	680	1051
393	682	1049
394	684	1047
395	685	1046
396	687	1044
397	689	1042
398	691	1040
399	692	1039
400	694	1037
401	696	1035
402	697	1033
403	699	1032
404	701	1030
405	702	1028
406	704	1026
407	706	1024
408	708	1023
409	709	1021
410	711	1019
411	713	1017
412	714	1016
413	716	1014
414	718	1012
415	720	1010
416	721	1009
417	723	1007
418	725	1005
419	727	1004
420	728	1002
421	730	1000
422	732	998
423	733	996
424	735	995
425	737	993
426	738	991
427	740	989
428	742	988
429	744	986
430	745	984
431	747	982
432	749	981
433	750	979
434	752	977
435	754	975
436	755	973
437	757	972
438	759	970
439	761	968
440	762	966
441	764	965
442	766	963
443	767	961
444	769	959
445	771	958
446	773	956
447	774	954
448	776	952
449	778	951
450	779	949
451	781	947
452	783	945
453	785	944
454	786	942
455	788	940
456	790	938
457	791	937
458	793	935
459	795	933
460	796	931
461	798	930
462	800	928
463	802	926
464	803	924
465	805	923
466	807	921
467	809	919
468	810	917
469	812	916
470	814	914
471	815	912
472	817	910
473	819	909
474	821	907
475	822	905
476	824	903
477	826	902
478	827	900
479	829	898
480	831	896
481	832	895
482	834	893
483	836	891
484	838	889
485	839	888
486	841	886
487	843	884
488	844	882
489	846	881
490	848	879
491	850	877
492	851	875
493	853	874
494	855	872
495	856	870
496	858	868
497	860	867
498	861	865
499	863	863
500	865	861
501	867	860
502	868	858
503	870	856
504	872	854
505	873	853
506	875	851
507	877	849
508	878	847
509	880	846
510	882	844
511	884	842
512	885	840
513	887	839
514	889	837
515	890	835
516	892	833
517	894	832
518	895	830
519	897	828
520	899	826
521	901	825
522	902	823
523	904	821
524	906	819
525	907	818
526	909	816
527	911	814
528	912	812
529	914	811
530	916	809
531	918	807
532	919	805
533	921	804
534	923	802
535	924	800
536	926	798
537	928	797
538	929	795
539	931	793
540	933	791
541	935	790
542	936	788
543	938	786
544	940	784
545	941	783
546	943	781
547	945	779
548	946	777
549	948	776
550	950	774
551	951	772
552	953	770
553	955	769
554	957	767
555	958	765
556	960	763
557	962	762
558	963	760
559	965	758
560	967	756
561	969	755
562	970	753
563	972	751
564	974	749
565	975	748
566	977	746
567	979	744
568	980	742
569	982	741
570	984	739
571	985	737
572	987	736
573	989	734
574	991	732
575	992	730
576	994	729
577	996	727
578	997	725
579	999	723
580	1001	722
581	1002	720
582	1004	718
583	1006	716
584	1007	715
585	1009	713
586	1011	711
587	1013	709
588	1014	708
589	1016	706
590	1018	704
591	1019	702
592	1021	701
593	1023	699
594	1025	697
595	1026	695
596	1028	694
597	1030	692
598	1031	690
599	1033	689
600	1035	687
601	1036	685
602	1038	683
603	1040	682
604	1042	680
605	1043	678
606	1045	676
607	1047	675
608	1048	673
609	1050	671
610	1052	669
611	1053	668
612	1055	666
613	1057	664
614	1059	663
615	1060	661
616	1062	659
617	1064	657
618	1065	656
619	1067	654
620	1069	652
621	1071	650
622	1072	649
623	1074	647
624	1076	645
625	1077	644
626	1079	642
627	1081	640
628	1083	638
629	1084	637
630	1086	635
631	1088	633
632	1089	631
633	1091	630
634	1093	628
635	1094	626
636	1096	624
637	1098	623
638	1100	621
639	1101	619
640	1103	618
641	1105	616
642	1106	614
643	1108	612
644	1110	611
645	1112	609
646	1113	607
647	1115	605
648	1117	604
649	1118	602
650	1120	600
651	1122	598
652	1123	597
653	1125	595
654	1127	593
655	1128	592
656	1130	590
657	1132	588
658	1134	586
659	1135	585
660	1137	583
661	1139	581
662	1140	579
663	1142	578
664	1144	576
665	1145	574
666	1147	572
667	1149	571
668	1151	569
669	1152	567
670	1154	566
671	1156	564
672	1157	562
673	1159	560
674	1161	559
675	1163	557
676	1164	555
677	1166	553
678	1168	552
679	1169	550
680	1171	548
681	1173	546
682	1174	545
683	1176	543
684	1178	541
685	1179	540
686	1181	538
687	1183	536
688	1185	534
689	1186	533
690	1188	531
691	1190	529
692	1191	527
693	1193	526
694	1195	524
695	1196	522
696	1198	521
697	1200	519
698	1201	517
699	1203	515
700	1205	514
701	1207	512
702	1208	510
703	1210	508
704	1212	507
705	1213	505
706	1215	503
707	1217	502
708	1218	500
709	1220	498
710	1222	496
711	1224	495
712	1225	493
713	1227	491
714	1229	490
715	1231	488
716	1232	486
717	1234	484
718	1236	483
719	1237	481
720	1239	479
721	1241	477
722	1243	476
723	1244	474
724	1246	472
725	1248	471
726	1249	469
727	1251	467
728	1253	465
729	1255	464
730	1256	462
731	1258	460
732	1260	459
733	1261	457
734	1263	455
